host_id,host_name,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_category
2787,John,Brooklyn,40.64749,-73.97237,Private room,149,1,9,0.21,6,365,medium
2845,Jennifer,Manhattan,40.75362,-73.98377,Entire home/apt,225,1,45,0.38,2,355,expensive
4632,Elisabeth,Manhattan,40.80902,-73.9419,Private room,150,3,0,0.0,1,365,medium
7192,Laura,Manhattan,40.79851,-73.94399,Entire home/apt,80,10,9,0.1,1,0,cheap
7356,Garon,Brooklyn,40.68688,-73.95596,Private room,60,45,49,0.4,1,0,cheap
7702,Lena,Manhattan,40.80316,-73.96545,Entire home/apt,135,5,53,0.43,1,6,medium
11975,Alina,Manhattan,40.7353,-74.00525,Entire home/apt,120,90,27,0.22,1,0,medium
17985,Sing,Manhattan,40.79685,-73.94872,Entire home/apt,190,7,0,0.0,2,249,expensive
21207,Chaya,Brooklyn,40.71842,-73.95718,Entire home/apt,299,3,9,0.07,1,0,expensive
22486,Lisel,Brooklyn,40.67989,-73.97798,Private room,80,1,39,0.37,6,364,cheap
25326,Gregory,Brooklyn,40.65599,-73.97519,Private room,60,1,19,1.37,2,85,cheap
26394,Claude  Sophie,Manhattan,40.86754,-73.92639,Private room,80,4,0,0.0,1,0,cheap
30193,Tommi,Manhattan,40.76715,-73.98533,Entire home/apt,150,10,58,0.49,1,75,medium
21904,Dana,Manhattan,40.7292,-73.98542,Entire home/apt,180,14,29,0.24,1,67,expensive
7355,Vt,Brooklyn,40.68876,-73.94312,Private room,35,60,0,0.0,1,365,cheap
45445,Harriet,Brooklyn,40.63702,-73.96327,Private room,150,1,0,0.0,1,365,medium
47610,Abdul,Brooklyn,40.66278,-73.97966,Entire home/apt,120,3,15,0.39,1,345,medium
47618,Yolande,Brooklyn,40.69673,-73.97584,Private room,120,7,25,0.23,1,311,medium
49670,Rana,Brooklyn,40.65944,-73.96238,Entire home/apt,150,29,11,0.49,1,95,medium
50846,Jennifer,Brooklyn,40.68554,-73.9409,Entire home/apt,115,3,11,0.1,1,0,medium
56284,Francesca,Manhattan,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257,expensive
59023,Bianca,Manhattan,40.72004,-73.99104,Private room,110,5,19,0.17,1,301,medium
60049,Ted,Manhattan,40.7221,-73.99775,Entire home/apt,180,30,21,0.3,1,154,expensive
60252,Cristina,Brooklyn,40.71185,-73.96204,Private room,80,2,42,0.38,1,263,cheap
63613,Patricia,Brooklyn,40.69,-73.96788,Private room,55,7,27,0.23,2,292,cheap
64056,Sara,Brooklyn,40.67343,-73.98338,Entire home/apt,225,3,4,0.16,1,0,expensive
66035,Anna,Manhattan,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116,expensive
66243,Enzo,Manhattan,40.76342,-73.98865,Private room,51,7,23,0.43,1,88,cheap
68428,Tye And Etienne,Manhattan,40.83139,-73.94095,Private room,65,2,49,1.6,2,336,cheap
69829,Josh,Manhattan,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224,expensive
70091,Justin,Queens,40.75038,-73.90334,Private room,70,30,25,0.22,1,324,cheap
73051,Sybilla,Manhattan,40.82915,-73.95136,Entire home/apt,110,31,54,0.49,1,209,medium
73469,Gaia,Brooklyn,40.65401,-73.96323,Entire home/apt,130,6,16,0.15,1,38,medium
76627,Pas,Manhattan,40.72912,-73.98057,Private room,50,1,2,0.05,1,0,cheap
961342,Augustin,Brooklyn,40.70032,-73.9383,Private room,65,4,24,0.28,1,317,cheap
51038,Erica,Brooklyn,40.68634,-73.966,Private room,98,7,16,0.2,6,185,cheap
79070,Tracy,Brooklyn,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158,expensive
82685,Elliott,Manhattan,40.82803,-73.94731,Private room,89,1,1,0.11,1,365,cheap
83257,Olan,Manhattan,40.74008,-74.00271,Private room,98,30,30,0.27,2,364,cheap
32294,Ssameer Or Trip,Manhattan,40.82279,-73.95139,Private room,60,3,11,0.87,3,219,cheap
105538,Erik,Brooklyn,40.71459,-73.94844,Entire home/apt,80,30,29,0.4,1,222,cheap
109589,Jessica,Brooklyn,40.68157,-73.98989,Entire home/apt,200,30,19,0.2,1,208,expensive
51038,Erica,Brooklyn,40.68698,-73.96572,Private room,125,2,19,0.2,6,250,medium
112793,Sally,Manhattan,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164,medium
115157,Nimo,Manhattan,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,1,260,expensive
115560,Stacy,Manhattan,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,1,199,expensive
119900,Sylvie,Manhattan,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,1,224,expensive
